# gt|osm-tag|osm-value|garmin-type|garmin-subtype|
point|aeroway|airport|misc|airport|20
point|amenity|atm|community|bank-atm|21
point|amenity|bank;atm|community|bank-atm|21
point|amenity|bank|community|bank-atm|21
point|amenity|biergarten|entertainment|bar-nightclub|21
point|amenity|bus_station|transportation|ground-transportation|21
point|amenity|cafe|food-and-drink|cafe-diner|21
point|amenity|car_wash|auto-services|car-wash|21
point|amenity|cinema|entertainment|movie-theater|20
point|amenity|college|community|school|21
point|amenity|courthouse|community|court-house|20
point|amenity|fast_food|food-and-drink|fast-food|21
point|amenity|fire_station|community|fire-department|21
point|amenity|fuel|fuel-services|auto-fuel|19
point|amenity|grave_yard|manmade-places|cemetery|21
point|amenity|hospital|hospitals|hospital|20
point|amenity|library|community|library|21
point|amenity|parking|auto-services|parking|21
point|amenity|pharmacy|shopping|pharmacy-chemist|20
point|amenity|place_of_worship|community|place-of-worship|21
point|amenity|police|community|police-station|21
point|amenity|post_office|community|post-office|20
point|amenity|public_building|public|xxx2|21
point|amenity|pub|misc|bar-pub|20
point|amenity|restaurant|food-and-drink|xxx3|20
point|amenity|school|community|school|20
point|amenity|supermarket|shopping|grocery|20
point|amenity|telephone|misc|telephone|21
point|amenity|theatre|entertainment|theatre|21
point|amenity|toilets|misc|restroom|21
point|amenity|townhall|community|city-hall|21
point|amenity|university|community|school|21
point|amenity|zoo|attractions|zoo-aquarium|21
point|highway|bus_stop|transportation|ground-transportation|21
point|historic|museum|attractions|museum-historical|20
point|leisure|golf_course|recreation|golf-course|21
point|leisure|marina|misc|marina|21
point|leisure|park|recreation|park-garden|21
point|leisure|pitch|recreation|arena-track|21
point|leisure|sports_centre|recreation|sports-fitness-center|21
point|leisure|stadium|recreation|arena-track|21
point|leisure|track|recreation|arena-track|21
point|man_made|tower|manmade-places|tower|21
point|natural|beach|natural-land|beach|21
point|natural|cliff|natural-land|cliff|21
point|natural|peak|natural-land|summit|21
point|place|city|city|city4|17
point|place|hamlet|city|city17|20
point|place|suburb|city|city10|20
point|place|town|city|city8|18
point|place|village|city|city11|20
point|railway|halt|transportation|ground-transportation|21
point|railway|station|transportation|ground-transportation|20
point|railway|tram_stop|transportation|ground-transportation|21
point|shop|bakers|shopping|grocery|20
point|shop|bakery|shopping|grocery|20
point|shop|butchers|shopping|xxx4|20
point|shop|supermarket|shopping|grocery|20
point|sport|swimming|recreation|swimming-pool|20
point|tourism|attraction|attractions|landmark|20
point|tourism|camp_site|lodging|campground-rv-park|20
point|tourism|caravan_site|lodging|campground-rv-park|20
point|tourism|hostel|lodging|bed-and-breakfast-inn|20
point|tourism|hotel|lodging|hotel-motel|20
point|tourism|information|misc|information|20
point|tourism|motel|lodging|hotel-motel|20
point|tourism|museum|attractions|museum-historical|20
point|tourism|picnic_site|misc|picnic-area|20
point|tourism|theme_park|recreation|amusement-theme-park|20
point|tourism|zoo|attractions|zoo-aquarium|20
polygon|amenity|college|university||18
polygon|amenity|grave_yard|cemetery||18
polygon|amenity|hospital|hospital||18
polygon|amenity|parking|parking-lot||21
polygon|amenity|supermarket|shopping||21
polygon|amenity|university|university||18
polygon|landuse|allotments|orchard||20
polygon|landuse|cemetary|cemetery||18
polygon|landuse|cemetery|cemetery||18
polygon|landuse|forest|woods||18
polygon|landuse|industrial|industrial||18
polygon|landuse|reservoir|lake4||18
polygon|landuse|village_green|city-park||20
polygon|landuse|retail|shopping||20
polygon|leisure|common|city-park||20
polygon|leisure|garden|city-park||20
polygon|leisure|golf_course|golf||20
polygon|leisure|marina|marina||20
polygon|leisure|nature_reserve|national-park3||18
polygon|leisure|park|city-park||20
polygon|leisure|pitch|sport||20
polygon|leisure|sports_center|sport||20
polygon|leisure|stadium|sport||19
polygon|leisure|track|sport||18
polygon|leisure|water_park|marina||18
polygon|military|airfield|military||18
polygon|military|barracks|military||18
polygon|military|danger_area|military||18
polygon|military|range|military||18
polygon|natural|marsh|wetland||20
polygon|natural|mud|wetland||20
polygon|natural|scrub|scrub||20
polygon|natural|water|lake1||20
polygon|natural|wood|woods||18
polygon|place|village|city3||18
polygon|waterway|riverbank|river1||20
polyline|aeroway|runway|airport-runway||20
polyline|boundary|administrative|boundary-political||18
polyline|boundary|national|boundary-international||17
polyline|boundary|political|boundary-political||17
polyline|contour|elevation|land-contour-medium||20
polyline|highway|bridleway|trail||23
polyline|highway|byway|trail||23
polyline|highway|cycleway|trail||23
polyline|highway|footway|trail||23
polyline|highway|minor|road||21
polyline|highway|motorway_link|major-highway-thick||16
polyline|highway|motorway|major-highway-thick||12
polyline|highway|pedestrian|road||22
polyline|highway|primary|arterial-road-medium||19
polyline|highway|primary_link|arterial-road-medium||19
polyline|highway|residential|road||22
polyline|highway|living_street|road||22
polyline|highway|secondary|arterial-road-thin||20
polyline|highway|service|alley||22
polyline|highway|steps|trail||23
polyline|highway|tertiary|road||21
polyline|highway|track|unpaved-road||21
polyline|highway|trunk_link|principal-highway-thick||16
polyline|highway|trunk|principal-highway-thick||16
polyline|highway|unclassified|road||21
polyline|highway|unsurfaced|unpaved-road||21
polyline|natural|coastline|shoreline||12
polyline|power|line|powerline||20
polyline|railway|light_rail|railroad||17
polyline|railway|rail|railroad||17
polyline|railway|subway|railroad||17
polyline|railway|tram|railroad||18
polyline|route|ferry|ferry1||18
polyline|waterway|canal|river||21
polyline|waterway|drain|river||22
polyline|waterway|river|river||18
polyline|waterway|stream|stream||22
